SourceSystem,SourceRecordId,OriginalTransactionDate,TeaGrade,ItemCode,Quantity,Unit,TransactionType,SourceReferenceNumber,SupplierOrProductionReference,WarehouseCode,BinCode,UnitCost,Reason
SYNTHETIC-RESEARCH,SYN-BOP-20231002,2023-10-02T00:00:00Z,BOP,TEA-BOP,372.4,kg,ProductionReceipt,SYN-PROD-BOP-20231002,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231003,2023-10-03T00:00:00Z,BOP,TEA-BOP,381.8,kg,ProductionReceipt,SYN-PROD-BOP-20231003,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231004,2023-10-04T00:00:00Z,BOP,TEA-BOP,384.3,kg,ProductionReceipt,SYN-PROD-BOP-20231004,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231005,2023-10-05T00:00:00Z,BOP,TEA-BOP,372.1,kg,ProductionReceipt,SYN-PROD-BOP-20231005,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231006,2023-10-06T00:00:00Z,BOP,TEA-BOP,344.2,kg,ProductionReceipt,SYN-PROD-BOP-20231006,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231007,2023-10-07T00:00:00Z,BOP,TEA-BOP,233.0,kg,ProductionReceipt,SYN-PROD-BOP-20231007,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231008,2023-10-08T00:00:00Z,BOP,TEA-BOP,219.9,kg,ProductionReceipt,SYN-PROD-BOP-20231008,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231009,2023-10-09T00:00:00Z,BOP,TEA-BOP,357.7,kg,ProductionReceipt,SYN-PROD-BOP-20231009,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231010,2023-10-10T00:00:00Z,BOP,TEA-BOP,409.1,kg,ProductionReceipt,SYN-PROD-BOP-20231010,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231011,2023-10-11T00:00:00Z,BOP,TEA-BOP,348.9,kg,ProductionReceipt,SYN-PROD-BOP-20231011,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231012,2023-10-12T00:00:00Z,BOP,TEA-BOP,388.5,kg,ProductionReceipt,SYN-PROD-BOP-20231012,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231013,2023-10-13T00:00:00Z,BOP,TEA-BOP,323.1,kg,ProductionReceipt,SYN-PROD-BOP-20231013,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231014,2023-10-14T00:00:00Z,BOP,TEA-BOP,226.2,kg,ProductionReceipt,SYN-PROD-BOP-20231014,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231015,2023-10-15T00:00:00Z,BOP,TEA-BOP,180.9,kg,ProductionReceipt,SYN-PROD-BOP-20231015,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231016,2023-10-16T00:00:00Z,BOP,TEA-BOP,343.5,kg,ProductionReceipt,SYN-PROD-BOP-20231016,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231017,2023-10-17T00:00:00Z,BOP,TEA-BOP,373.3,kg,ProductionReceipt,SYN-PROD-BOP-20231017,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231018,2023-10-18T00:00:00Z,BOP,TEA-BOP,368.3,kg,ProductionReceipt,SYN-PROD-BOP-20231018,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231019,2023-10-19T00:00:00Z,BOP,TEA-BOP,340.4,kg,ProductionReceipt,SYN-PROD-BOP-20231019,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231020,2023-10-20T00:00:00Z,BOP,TEA-BOP,315.4,kg,ProductionReceipt,SYN-PROD-BOP-20231020,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231021,2023-10-21T00:00:00Z,BOP,TEA-BOP,276.6,kg,ProductionReceipt,SYN-PROD-BOP-20231021,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231022,2023-10-22T00:00:00Z,BOP,TEA-BOP,220.3,kg,ProductionReceipt,SYN-PROD-BOP-20231022,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231023,2023-10-23T00:00:00Z,BOP,TEA-BOP,355.2,kg,ProductionReceipt,SYN-PROD-BOP-20231023,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231024,2023-10-24T00:00:00Z,BOP,TEA-BOP,363.3,kg,ProductionReceipt,SYN-PROD-BOP-20231024,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231025,2023-10-25T00:00:00Z,BOP,TEA-BOP,358.2,kg,ProductionReceipt,SYN-PROD-BOP-20231025,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231026,2023-10-26T00:00:00Z,BOP,TEA-BOP,361.1,kg,ProductionReceipt,SYN-PROD-BOP-20231026,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231027,2023-10-27T00:00:00Z,BOP,TEA-BOP,294.3,kg,ProductionReceipt,SYN-PROD-BOP-20231027,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231028,2023-10-28T00:00:00Z,BOP,TEA-BOP,228.8,kg,ProductionReceipt,SYN-PROD-BOP-20231028,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231029,2023-10-29T00:00:00Z,BOP,TEA-BOP,153.7,kg,ProductionReceipt,SYN-PROD-BOP-20231029,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231030,2023-10-30T00:00:00Z,BOP,TEA-BOP,353.3,kg,ProductionReceipt,SYN-PROD-BOP-20231030,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231031,2023-10-31T00:00:00Z,BOP,TEA-BOP,374.0,kg,ProductionReceipt,SYN-PROD-BOP-20231031,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231101,2023-11-01T00:00:00Z,BOP,TEA-BOP,362.0,kg,ProductionReceipt,SYN-PROD-BOP-20231101,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231102,2023-11-02T00:00:00Z,BOP,TEA-BOP,395.1,kg,ProductionReceipt,SYN-PROD-BOP-20231102,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231103,2023-11-03T00:00:00Z,BOP,TEA-BOP,306.3,kg,ProductionReceipt,SYN-PROD-BOP-20231103,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231104,2023-11-04T00:00:00Z,BOP,TEA-BOP,221.8,kg,ProductionReceipt,SYN-PROD-BOP-20231104,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231105,2023-11-05T00:00:00Z,BOP,TEA-BOP,206.4,kg,ProductionReceipt,SYN-PROD-BOP-20231105,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231106,2023-11-06T00:00:00Z,BOP,TEA-BOP,382.4,kg,ProductionReceipt,SYN-PROD-BOP-20231106,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231107,2023-11-07T00:00:00Z,BOP,TEA-BOP,410.9,kg,ProductionReceipt,SYN-PROD-BOP-20231107,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231108,2023-11-08T00:00:00Z,BOP,TEA-BOP,363.7,kg,ProductionReceipt,SYN-PROD-BOP-20231108,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231109,2023-11-09T00:00:00Z,BOP,TEA-BOP,387.1,kg,ProductionReceipt,SYN-PROD-BOP-20231109,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231110,2023-11-10T00:00:00Z,BOP,TEA-BOP,330.8,kg,ProductionReceipt,SYN-PROD-BOP-20231110,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
SYNTHETIC-RESEARCH,SYN-BOP-20231111,2023-11-11T00:00:00Z,BOP,TEA-BOP,248.7,kg,ProductionReceipt,SYN-PROD-BOP-20231111,SmartTea-Synthetic-Research,WH-MAIN,BIN-01,0.0,Synthetic research data — AI model demonstration
