Date,TeaGrade,DemandKg,StockLevelKg,LowStockFlag,PricePerKgLKR,DeliveryDay,Month,DayOfWeek,DayOfYear,Quarter,IsWeekend,Warehouse
2021-01-01,BOP,370.3,9591.3,0,1845.52,1,1,4,1,1,0,Nuwara Eliya Main Warehouse
2021-01-01,BOPF,311.7,8450.5,0,1584.96,1,1,4,1,1,0,Nuwara Eliya Main Warehouse
2021-01-01,DUST,269.4,7224.4,0,1560.04,1,1,4,1,1,0,Nuwara Eliya Main Warehouse
2021-01-01,FNGS,198.5,5398.4,0,1465.32,1,1,4,1,1,0,Nuwara Eliya Main Warehouse
2021-01-01,OP,139.6,3589.5,0,2610.79,1,1,4,1,1,0,Nuwara Eliya Main Warehouse
2021-01-02,BOP,278.9,9606.0,0,1958.75,0,1,5,2,1,1,Nuwara Eliya Main Warehouse
2021-01-02,BOPF,252.1,8460.2,0,1682.72,0,1,5,2,1,1,Nuwara Eliya Main Warehouse
2021-01-02,DUST,212.8,7244.4,0,1533.29,0,1,5,2,1,1,Nuwara Eliya Main Warehouse
2021-01-02,FNGS,164.8,5400.5,0,1394.77,0,1,5,2,1,1,Nuwara Eliya Main Warehouse
2021-01-02,OP,102.9,3579.0,0,2849.01,0,1,5,2,1,1,Nuwara Eliya Main Warehouse
2021-01-03,BOP,246.7,9573.1,0,1836.87,0,1,6,3,1,1,Nuwara Eliya Main Warehouse
2021-01-03,BOPF,208.8,8447.9,0,1620.94,0,1,6,3,1,1,Nuwara Eliya Main Warehouse
2021-01-03,DUST,171.1,7257.1,0,1558.53,0,1,6,3,1,1,Nuwara Eliya Main Warehouse
2021-01-03,FNGS,152.8,5402.6,0,1337.85,0,1,6,3,1,1,Nuwara Eliya Main Warehouse
2021-01-03,OP,95.6,3597.9,0,2968.46,0,1,6,3,1,1,Nuwara Eliya Main Warehouse
2021-01-04,BOP,424.2,9534.7,0,1903.24,1,1,0,4,1,0,Nuwara Eliya Main Warehouse
2021-01-04,BOPF,368.0,8417.2,0,1560.28,1,1,0,4,1,0,Nuwara Eliya Main Warehouse
2021-01-04,DUST,315.0,7325.1,0,1393.38,1,1,0,4,1,0,Nuwara Eliya Main Warehouse
2021-01-04,FNGS,218.5,5417.4,0,1352.3,1,1,0,4,1,0,Nuwara Eliya Main Warehouse
2021-01-04,OP,162.3,3634.6,0,2789.22,1,1,0,4,1,0,Nuwara Eliya Main Warehouse
2021-01-05,BOP,407.2,9634.3,0,1911.66,0,1,1,5,1,0,Nuwara Eliya Main Warehouse
2021-01-05,BOPF,357.8,8411.1,0,1681.43,0,1,1,5,1,0,Nuwara Eliya Main Warehouse
2021-01-05,DUST,301.0,7361.1,0,1529.54,0,1,1,5,1,0,Nuwara Eliya Main Warehouse
