Date,Year,Month,Day,DayOfWeek,Quarter,IsWeekend,DayOfYear,GreenLeafPricePerKgLKR,GreenLeafQuantityKg,FirewoodCollectedKg,FirewoodCostPerKgLKR,TemperatureCelsius,RainfallMM,HeavyRainFlag,SupplierID,SupplierName,SupplierDelivered,SupplierQuantityKg,PromotionActive,MonthStartBonus,TotalDailyCostLKR,NextDayGreenLeafPrice,PriceLag1,PriceLag2,PriceLag3,PriceLag7,PriceLag14,PriceRollingMean7,PriceRollingMean30,PriceRollingStd7,QtyRollingMean7,PriceChangePct
2021-01-30,2021,1,30,5,1,1,30,93.28,3478.3,657.9,18.03,18.8,4.5,0,SUP-001,Perera Tea Estates,1,843.3,0,0,336317.76,90.26,97.39,99.66,97.32,90.56,93.32,94.36,91.44,4.45,4187.5,-4.2201
2021-01-31,2021,1,31,6,1,1,31,90.26,3148.7,665.9,18.49,17.3,1.9,0,SUP-004,Highlands Tea Farm,0,0.0,0,0,296514.15,93.29,93.28,97.39,99.66,88.98,86.88,94.54,91.44,4.21,4100.3,-3.2376
2021-02-01,2021,2,1,0,1,0,32,93.29,4857.6,1315.3,17.88,15.3,5.6,0,SUP-001,Perera Tea Estates,1,909.8,0,1,476683.07,98.3,90.26,93.28,97.39,88.02,91.79,95.3,91.82,3.2,4171.9,3.357
2021-02-02,2021,2,2,1,1,0,33,98.3,4700.9,1292.1,16.0,20.1,2.5,0,SUP-001,Perera Tea Estates,1,775.4,0,1,482772.07,99.73,93.29,90.26,93.28,95.88,91.25,95.64,92.24,3.4,4179.0,5.3704
2021-02-03,2021,2,3,2,1,0,34,99.73,4675.5,1299.0,18.99,18.7,1.4,0,SUP-001,Perera Tea Estates,1,755.4,0,1,490955.62,97.71,98.3,93.29,90.26,97.32,91.07,95.99,92.65,3.7,4217.1,1.4547
2021-02-04,2021,2,4,3,1,0,35,97.71,4777.2,1203.6,19.69,23.1,4.8,0,SUP-004,Highlands Tea Farm,1,546.5,0,1,490479.1,87.75,99.73,98.3,93.29,99.66,97.63,95.71,92.85,3.44,4295.8,-2.0255
2021-02-05,2021,2,5,4,1,0,36,87.75,4537.2,1247.4,17.81,19.8,0.3,0,SUP-005,Kandyan Leaf Growers,1,542.4,0,1,420355.49,93.33,97.71,99.73,98.3,97.39,92.05,94.33,92.87,4.44,4310.8,-10.1934
2021-02-06,2021,2,6,5,1,1,37,93.33,3208.7,691.8,18.1,20.7,9.5,0,SUP-001,Perera Tea Estates,1,943.1,0,0,311989.55,88.15,87.75,97.71,99.73,93.28,90.56,94.34,93.06,4.44,4272.3,6.359
2021-02-07,2021,2,7,6,1,1,38,88.15,3588.7,716.2,18.33,18.4,0.6,0,SUP-001,Perera Tea Estates,0,0.0,0,0,329471.85,91.91,93.33,87.75,97.71,90.26,88.98,94.04,92.99,4.82,4335.1,-5.5502
2021-02-08,2021,2,8,0,1,0,39,91.91,4295.3,1210.5,18.93,20.6,7.7,0,SUP-003,Nuwara Estates Ltd,1,675.4,0,0,417695.79,100.8,88.15,93.33,87.75,93.29,88.02,93.84,92.91,4.88,4254.8,4.2655
2021-02-09,2021,2,9,1,1,0,40,100.8,4545.1,1333.2,18.58,19.5,11.6,0,SUP-002,Silva Green Leaves,1,715.5,1,0,482916.94,97.46,91.91,88.15,93.33,98.3,95.88,94.2,93.41,5.33,4232.5,9.6725
2021-02-10,2021,2,10,2,1,0,41,97.46,4728.0,1269.4,18.57,19.6,15.0,0,SUP-001,Perera Tea Estates,1,897.6,0,0,484363.64,92.13,100.8,91.91,88.15,99.73,97.32,93.87,93.37,5.0,4240.0,-3.3135
2021-02-11,2021,2,11,3,1,0,42,92.13,4782.1,1187.1,17.47,21.6,0.9,0,SUP-001,Perera Tea Estates,1,932.3,0,0,461313.51,85.9,97.46,100.8,91.91,97.71,99.66,93.08,93.2,4.72,4240.7,-5.4689
2021-02-12,2021,2,12,4,1,0,43,85.9,4624.3,1165.1,20.02,15.9,15.3,0,SUP-003,Nuwara Estates Ltd,1,756.0,0,0,420552.67,94.02,92.13,97.46,100.8,87.75,97.39,92.81,93.25,5.11,4253.2,-6.7622
2021-02-13,2021,2,13,5,1,1,44,94.02,4070.0,683.5,18.81,18.5,11.7,0,SUP-001,Perera Tea Estates,1,796.5,0,0,395518.04,95.32,85.9,92.13,97.46,93.33,93.28,92.91,93.26,5.12,4376.2,9.4529
2021-02-14,2021,2,14,6,1,1,45,95.32,3246.6,745.7,18.34,21.9,10.2,0,SUP-004,Highlands Tea Farm,0,0.0,1,0,323142.05,94.07,94.02,85.9,92.13,88.15,90.26,93.93,93.37,4.72,4327.3,1.3827
2021-02-15,2021,2,15,0,1,0,46,94.07,4607.6,1328.5,17.92,21.7,2.0,0,SUP-002,Silva Green Leaves,0,0.0,0,0,457243.65,96.38,95.32,94.02,85.9,91.91,93.29,94.24,93.4,4.63,4372.0,-1.3114
2021-02-16,2021,2,16,1,1,0,47,96.38,4524.8,1310.1,18.21,20.8,7.1,0,SUP-001,Perera Tea Estates,1,844.7,0,0,459957.14,95.66,94.07,95.32,94.02,100.8,98.3,93.61,93.71,3.82,4369.1,2.4556
2021-02-17,2021,2,17,2,1,0,48,95.66,4744.5,1196.3,17.47,18.3,5.4,0,SUP-003,Nuwara Estates Ltd,1,671.5,0,0,474758.23,98.63,96.38,94.07,95.32,97.46,99.73,93.35,93.84,3.57,4371.4,-0.747
2021-02-18,2021,2,18,3,1,0,49,98.63,4445.3,1156.5,18.42,20.5,17.9,0,SUP-003,Nuwara Estates Ltd,1,657.7,0,0,459742.67,91.04,95.66,96.38,94.07,92.13,97.71,94.28,94.09,4.01,4323.3,3.1047
2021-02-19,2021,2,19,4,1,0,50,91.04,4716.8,1403.2,16.84,19.3,0.1,0,SUP-001,Perera Tea Estates,1,831.1,0,0,453047.36,94.48,98.63,95.66,96.38,85.9,87.75,95.02,94.09,2.35,4336.5,-7.6954
